Technique,Precision,Recall,F1
Golden Features SVM,0.835850149164949,0.9501750074959227,0.8813342367886243
	- leaked features,0.2871741920987807,0.7013022957388463,0.3744539185052991
	- data duplication,0.8568455737810576,0.9439687366623987,0.8936436518429961
	- data duplication and leaked features,0.2614499831966536,0.5599280658699672,0.3053679694798439
Golden Featurs kNN (with k = 10),0.9210711230809208,0.5742647098664397,0.6832323485169606
Golden Featurs kNN (with k = 5),0.8632554095411761,0.7194095171338222,0.777968905295703
Golden Featurs kNN (with k = 3),0.8782174626088683,0.7839709872675805,0.8257991965700769
Golden Featurs kNN (with k = 1),0.8513246626743645,0.9020374374362193,0.8734833451103122
Only leaked features SVM,0.7908429257759122,0.935538086442218,0.8338942276966548
